0,30.83,0,0,0,9,0,1.25,0,0,1,1,0,202,0,-1
1,58.67,4.46,0,0,8,1,3.04,0,0,6,1,0,43,560,-1
1,24.5,0.5,0,0,8,1,1.5,0,1,0,1,0,280,824,-1
0,27.83,1.54,0,0,9,0,3.75,0,0,5,0,0,100,3,-1
0,20.17,5.625,0,0,9,0,1.71,0,1,0,1,2,120,0,-1
0,32.08,4,0,0,6,0,2.5,0,1,0,0,0,360,0,-1
0,33.17,1.04,0,0,7,1,6.5,0,1,0,0,0,164,31285,-1
1,22.92,11.585,0,0,2,0,0.04,0,1,0,1,0,80,1349,-1
0,54.42,0.5,1,1,5,1,3.96,0,1,0,1,0,180,314,-1
0,42.5,4.915,1,1,9,0,3.165,0,1,0,0,0,52,1442,-1
0,22.08,0.83,0,0,0,1,2.165,1,1,0,0,0,128,0,-1
0,29.92,1.835,0,0,0,1,4.335,0,1,0,1,0,260,200,-1
1,38.25,6,0,0,5,0,1,0,1,0,0,0,0,0,-1
0,48.08,6.04,0,0,5,0,0.04,1,1,0,1,0,0,2690,-1
1,45.83,10.5,0,0,8,0,5,0,0,7,0,0,0,0,-1
0,36.67,4.415,1,1,5,0,0.25,0,0,10,0,0,320,0,-1
0,28.25,0.875,0,0,6,0,0.96,0,0,3,0,0,396,0,-1
1,23.25,5.875,0,0,8,0,3.17,0,0,10,1,0,120,245,-1
0,21.83,0.25,0,0,1,1,0.665,0,1,0,0,0,0,0,-1
1,19.17,8.585,0,0,2,1,0.75,0,0,7,1,0,96,0,-1
0,25,11.25,0,0,0,0,2.5,0,0,17,1,0,200,1208,-1
0,23.25,1,0,0,0,0,0.835,0,1,0,1,2,300,0,-1
1,47.75,8,0,0,0,0,7.875,0,0,6,0,0,0,1260,-1
1,27.42,14.5,0,0,10,1,3.085,0,0,1,1,0,120,11,-1
1,41.17,6.5,0,0,8,0,0.5,0,0,3,0,0,145,0,-1
1,15.83,0.585,0,0,0,1,1.5,0,0,2,1,0,100,0,-1
1,47,13,0,0,3,2,5.165,0,0,9,0,0,0,0,-1
0,56.58,18.5,0,0,1,2,15,0,0,17,0,0,0,0,-1
0,57.42,8.5,0,0,11,1,7,0,0,3,1,0,0,0,-1
0,42.08,1.04,0,0,9,0,5,0,0,6,0,0,500,10000,-1
0,29.25,14.79,0,0,12,0,5.04,0,0,5,0,0,168,0,-1
0,42,9.79,0,0,10,1,7.96,0,0,8,1,0,0,0,-1
0,49.5,7.585,0,0,3,2,7.585,0,0,15,0,0,0,5000,-1
1,36.75,5.125,0,0,11,0,5,0,1,0,0,0,0,4000,-1
1,22.58,10.75,0,0,8,0,0.415,0,0,5,0,0,0,560,-1
0,27.83,1.5,0,0,9,0,2,0,0,11,0,0,434,35,-1
0,27.25,1.585,0,0,2,1,1.835,0,0,12,0,0,583,713,-1
1,23,11.75,0,0,10,1,0.5,0,0,2,0,0,300,551,-1
0,27.75,0.585,1,1,2,0,0.25,0,0,2,1,0,260,500,-1
0,54.58,9.415,0,0,13,7,14.415,0,0,11,0,0,30,300,-1
0,34.17,9.17,0,0,0,0,4.5,0,0,12,0,0,0,221,-1
0,28.92,15,0,0,0,1,5.335,0,0,11,1,0,0,2283,-1
0,29.67,1.415,0,0,9,1,0.75,0,0,1,1,0,240,100,-1
0,39.58,13.915,0,0,9,0,8.625,0,0,6,0,0,70,0,-1
0,56.42,28,1,1,0,0,28.5,0,0,40,1,0,0,15,-1
0,54.33,6.75,0,0,0,1,2.625,0,0,11,0,0,0,284,-1
1,41,2.04,1,1,8,1,0.125,0,0,23,0,0,455,1236,-1
0,31.92,4.46,0,0,2,1,6.04,0,0,3,1,0,311,300,-1
0,41.5,1.54,0,0,3,2,3.5,1,1,0,1,0,216,0,-1
0,23.92,0.665,0,0,0,0,0.165,1,1,0,1,0,100,0,-1
1,25.75,0.5,0,0,0,1,0.875,0,1,0,0,0,491,0,-1
0,26,1,0,0,8,0,1.75,0,1,0,0,0,280,0,-1
0,37.42,2.04,0,0,9,0,0.04,0,1,0,0,0,400,5800,-1
0,34.92,2.5,0,0,9,0,0,0,1,0,0,0,239,200,-1
0,34.25,3,0,0,2,1,7.415,0,1,0,0,0,0,0,-1
0,23.33,11.625,1,1,9,0,0.835,0,1,0,0,0,160,300,-1
0,23.17,0,0,0,2,0,0.085,0,1,0,1,0,0,0,-1
0,44.33,0.5,0,0,3,1,5,0,1,0,0,0,320,0,-1
0,35.17,4.5,0,0,10,1,5.75,1,1,0,0,2,711,0,-1
0,43.25,3,0,0,8,1,6,0,0,11,1,0,80,0,-1
0,56.75,12.25,0,0,6,0,1.25,0,0,4,0,0,200,0,-1
0,31.67,16.165,0,0,1,0,3,0,0,9,1,0,250,730,-1
1,23.42,0.79,1,1,8,0,1.5,0,0,2,0,0,80,400,-1
1,20.42,0.835,0,0,8,0,1.585,0,0,1,1,0,0,0,-1
0,26.67,4.25,0,0,2,0,4.29,0,0,1,0,0,120,0,-1
0,34.17,1.54,0,0,2,0,1.54,0,0,1,0,0,520,50000,-1
1,36,1,0,0,0,0,2,0,0,11,1,0,0,456,-1
0,25.5,0.375,0,0,6,0,0.25,0,0,3,1,0,260,15108,-1
0,19.42,6.5,0,0,9,1,1.46,0,0,7,1,0,80,2954,-1
0,35.17,25.125,0,0,10,1,1.625,0,0,1,0,0,515,500,-1
0,32.33,7.5,0,0,11,2,1.585,0,1,0,0,2,420,0,1
1,38.58,5,0,0,2,0,13.5,0,1,0,0,0,980,0,1
0,44.25,0.5,0,0,6,0,10.75,0,1,0,1,2,400,0,1
